DB 22 Sep 2017 13:37:12 169.52 91746395 Odyssey Leicester online 
CSP 15 Apr 2017 20:27:54 317.86 58190341 23860 
DD 14 Jan 2017 08:04:48 322.9 046 
TR 27 Jul 2017 09:11:10 375.44 66258941 59-95-71 
CDP 29 Apr 2017 10:39:47 295.92 cash 
INT 22 Jul 2017 13:14:58 213.44 annual
INT 10 May 2017 20:08:12 211.4 daily
INT 23 Mar 2017 12:42:32 325.55 annual
INT 13 Dec 2017 03:24:12 4.74 monthly
INT 11 Apr 2017 15:57:31 353.01 monthly
INT 04 Apr 2017 18:41:36 29.1 monthly
INT 21 May 2017 17:48:07 232.38 monthly
INT 13 Feb 2017 18:06:43 371.1 monthly
INT 10 May 2017 11:15:57 309.57 monthly
INT 09 Dec 2017 11:57:25 277.1 daily
INT 13 Sep 2017 03:48:38 210.07 monthly
INT 17 Dec 2017 12:13:23 337.2 annual
INT 08 Aug 2017 17:07:38 123.59 daily
